time	at	ch	cm
0	0	0	0
10	13	16	17
20	12	17	17
30	11	15	16
40	14	18	16
50	13	14	15
60	12	16	15
70	12	15	15
80	13	14	17
90	12	16	18
100	14	15	14
110	14	15	16
120	12	16	17
130	13	18	16
140	12	14	16
150	13	17	18
160	12	16	17
170	14	16	16
180	13	15	16
190	13	15	17
200	12	15	16
210	15	17	16
220	13	18	16
230	15	14	15
240	12	16	16
250	12	15	16
260	13	14	14
270	14	16	16
280	13	18	16
290	13	17	15
300	12	16	16
310	11	17	16
320	11	13	12
330	12	14	15
340	12	16	14
350	13	15	17
360	14	15	16
370	15	17	16
380	14	15	16
390	13	16	16
400	13	15	16
410	14	14	16
420	12	16	16
430	13	17	17
440	14	14	15
450	14	15	18
460	13	16	17
470	12	16	16
480	11	14	17
490	14	15	16
500	13	14	16
510	11	17	15
520	12	14	17
530	13	16	14
540	14	16	18
550	11	15	17
560	12	16	16
570	12	17	18
580	11	15	18
590	15	17	16
600	14	15	16
610	13	14	16
620	12	16	16
630	14	16	17
640	14	15	16
650	13	17	15
660	14	15	16
670	12	16	17
680	14	17	17
690	11	18	14
700	12	17	17
710	13	16	16
720	12	17	17
730	12	18	16
740	13	17	16
750	14	16	18
760	11	17	17
770	15	17	15
780	14	16	16
790	12	15	18
800	12	16	16
810	14	16	18
820	11	18	17
830	14	16	16
840	13	17	17
850	12	14	18
860	14	15	16
870	15	16	17
880	15	16	14
890	14	16	16
900	12	17	14
910	12	14	16
920	12	15	15
930	13	16	14
940	14	15	16
950	15	18	14
960	13	17	16
970	14	17	15
980	12	16	14
990	12	16	15
1000	13	17	16
1010	12	19	17
1020	13	16	18
1030	14	17	18
1040	11	18	12
1050	14	17	15
1060	12	16	16
1070	14	16	15
1080	13	15	16
1090	11	14	16
1100	12	17	16
1110	15	16	14
1120	12	14	16
1130	14	14	15
1140	15	15	16
1150	13	17	18
1160	14	16	17
1170	12	17	16
1180	13	16	14
1190	12	16	16
1200	15	15	15
