time	at	ch	cm
0	0	0	0
10	15	21	22
20	14	22	22
30	16	23	24
40	16	22	22
50	14	21	23
60	15	23	23
70	12	20	20
80	15	21	22
90	14	22	24
100	15	23	23
110	14	22	22
120	16	22	24
130	15	21	22
140	16	22	23
150	16	21	21
160	17	22	22
170	14	23	23
180	15	22	22
190	16	21	21
200	15	21	21
210	14	23	23
220	15	22	22
230	14	23	23
240	14	24	24
250	15	22	22
260	15	22	23
270	14	24	25
280	16	23	21
290	17	23	22
300	15	21	24
310	17	22	22
320	18	21	22
330	16	22	23
340	15	22	22
350	15	22	24
360	14	23	21
370	15	22	24
380	16	23	22
390	14	25	23
400	15	22	21
410	16	22	23
420	17	23	21
430	15	24	22
440	16	23	21
450	14	22	23
460	16	22	22
470	15	23	22
480	17	22	21
490	14	20	23
500	13	20	21
510	15	20	23
520	16	20	21
530	15	20	22
540	16	21	23
550	17	20	23
560	16	23	23
570	16	21	22
580	14	23	22
590	15	21	21
600	16	22	23
610	15	24	21
620	14	23	20
630	15	22	20
640	14	23	23
650	16	20	21
660	16	20	23
670	17	20	21
680	16	21	22
690	14	23	24
700	15	20	25
710	17	21	24
720	17	23	23
730	17	24	25
740	16	20	24
750	14	21	23
760	16	22	23
770	17	21	23
780	16	20	22
790	17	23	22
800	16	21	24
810	14	23	24
820	15	22	23
830	15	20	21
840	16	21	22
850	14	23	24
860	15	24	23
870	16	23	22
880	15	22	24
890	16	22	23
900	16	21	22
910	16	22	21
920	18	21	23
930	17	23	24
940	15	21	22
950	14	22	21
960	17	23	23
970	17	22	23
980	16	24	24
990	16	21	23
1000	16	20	24
1010	15	22	24
1020	16	24	24
1030	15	23	24
1040	14	24	23
1050	15	23	24
1060	16	24	23
1070	14	22	21
1080	15	23	23
1090	16	22	24
1100	15	23	24
1110	16	21	24
1120	14	24	23
1130	16	23	22
1140	15	22	21
1150	16	23	22
1160	14	22	23
1170	16	21	24
1180	15	22	23
1190	14	23	21
1200	14	22	24
