time	at	ch	cm
0	0	0	0
10	6	7	8
20	5	8	8
30	4	8	8
40	6	7	9
50	5	8	8
60	6	8	8
70	5	8	6
80	7	9	7
90	5	8	7
100	6	8	8
110	5	6	8
120	4	7	7
130	5	7	8
140	4	8	8
150	6	8	8
160	5	7	9
170	6	8	8
180	5	8	8
190	7	8	9
200	4	9	8
210	6	8	8
220	5	8	6
230	4	6	7
240	6	7	7
250	5	7	8
260	7	8	8
270	5	8	7
280	6	7	8
290	5	8	8
300	6	8	8
310	5	8	9
320	4	9	8
330	6	8	9
340	5	8	8
350	6	6	8
360	5	7	6
370	7	7	7
380	5	8	7
390	6	8	8
400	5	7	8
410	4	8	7
420	5	8	8
430	4	8	8
440	6	9	8
450	5	8	9
460	6	8	9
470	5	6	8
480	6	7	8
490	7	7	6
500	5	8	7
510	5	8	7
520	4	7	8
530	6	8	8
540	5	8	8
550	4	8	6
560	8	9	7
570	6	8	7
580	6	8	8
590	5	6	7
600	4	7	8
610	6	7	8
620	5	8	6
630	6	8	7
640	5	7	7
650	7	8	8
660	3	8	8
670	6	8	8
680	5	9	6
690	4	8	7
700	5	8	7
710	4	6	8
720	6	7	7
730	5	7	6
740	6	8	8
750	5	8	8
760	7	7	7
770	5	8	9
780	6	8	8
790	5	8	8
800	4	9	8
810	6	8	9
820	5	8	8
830	6	6	8
840	7	7	6
850	6	7	7
860	6	8	7
870	5	8	8
880	4	7	8
890	6	8	7
900	5	8	8
910	6	8	8
920	5	9	8
930	7	8	9
940	4	8	8
950	6	6	7
960	5	7	8
970	4	7	8
980	5	8	7
990	4	8	6
1000	6	7	6
1010	4	8	8
1020	6	8	7
1030	5	8	8
1040	3	9	9
1050	4	8	8
1060	6	8	7
1070	5	6	9
1080	4	7	6
1090	4	7	7
1100	6	8	7
1110	5	8	8
1120	6	7	8
1130	5	8	7
1140	6	8	8
1150	4	8	8
1160	6	9	8
1170	5	8	8
1180	4	8	7
1190	5	6	8
1200	6	7	8
