time	at	ch	cm
0	0	0	0
10	35	39	40
20	34	40	41
30	33	41	42
40	33	38	39
50	32	39	39
60	33	38	40
70	32	38	42
80	34	39	41
90	35	40	40
100	35	40	41
110	34	40	39
120	34	39	40
130	32	38	40
140	35	40	41
150	34	39	40
160	34	42	39
170	35	40	41
180	34	39	40
190	32	38	39
200	34	40	41
210	36	41	40
220	34	39	41
230	33	39	41
240	34	40	41
250	36	39	39
260	35	41	41
270	33	39	40
280	34	39	40
290	34	38	41
300	35	41	41
310	36	39	42
320	35	41	41
330	36	39	40
340	35	41	41
350	34	40	41
360	32	39	40
370	33	39	39
380	32	38	39
390	33	40	40
400	34	38	39
410	33	39	39
420	32	40	41
430	35	40	39
440	36	41	41
450	34	39	39
460	33	37	38
470	35	40	41
480	34	36	39
490	35	37	38
500	35	38	39
510	34	38	40
520	35	38	41
530	36	36	40
540	36	37	40
550	37	36	41
560	32	38	39
570	34	39	40
580	34	39	41
590	36	39	39
600	35	37	39
610	33	39	41
620	34	39	42
630	33	40	42
640	34	39	41
650	33	38	39
660	35	40	41
670	34	39	39
680	34	40	39
690	34	39	38
700	37	40	39
710	36	40	41
720	35	37	40
730	36	40	38
740	37	39	41
750	37	36	39
760	36	40	40
770	37	39	39
780	35	39	39
790	35	39	39
800	35	40	40
810	36	40	40
820	35	38	39
830	35	40	41
840	36	39	39
850	37	41	41
860	35	40	40
870	34	38	38
880	36	39	39
890	35	40	40
900	33	38	39
910	34	39	39
920	35	38	38
930	34	40	40
940	36	39	41
950	35	41	41
960	33	40	40
970	34	38	38
980	34	39	40
990	36	38	40
1000	35	38	41
1010	35	40	42
1020	34	38	39
1030	33	39	39
1040	35	37	39
1050	34	39	41
1060	36	39	39
1070	35	40	40
1080	33	40	38
1090	32	41	39
1100	35	41	40
1110	34	39	39
1120	36	40	40
1130	33	40	40
1140	36	38	38
1150	36	39	40
1160	35	38	39
1170	34	39	39
1180	32	41	41
1190	32	40	41
1200	34	39	42
