time	at	ch	cm
0	0	0	0
10	27	32	32
20	28	33	33
30	26	28	28
40	27	30	30
50	25	30	30
60	28	31	31
70	27	29	29
80	25	29	35
90	25	30	33
100	26	30	32
110	24	31	32
120	26	29	32
130	25	29	30
140	26	30	31
150	24	31	31
160	26	31	31
170	25	32	32
180	24	31	31
190	26	28	28
200	23	32	32
210	24	33	33
220	25	32	30
230	25	33	33
240	25	28	32
250	25	30	33
260	24	30	32
270	26	31	31
280	23	29	29
290	22	30	30
300	23	28	30
310	24	29	31
320	25	32	29
330	26	33	35
340	26	33	33
350	25	30	32
360	28	31	33
370	27	31	33
380	25	31	30
390	26	32	31
400	24	31	31
410	25	30	31
420	26	33	33
430	24	29	29
440	26	28	28
450	26	29	29
460	25	29	29
470	25	33	33
480	26	32	29
490	24	31	30
500	26	33	30
510	25	32	31
520	26	32	30
530	24	31	34
540	26	30	33
550	24	29	32
560	26	30	32
570	25	29	30
580	24	30	29
590	26	32	34
600	23	31	32
610	24	31	30
620	25	29	31
630	25	30	32
640	25	31	31
650	25	31	33
660	24	30	32
670	26	30	30
680	25	31	31
690	25	30	30
700	24	30	30
710	24	31	31
720	28	32	29
730	27	31	33
740	28	30	32
750	25	32	32
760	24	33	34
770	28	28	33
780	26	32	33
790	25	30	34
800	25	29	31
810	24	29	30
820	28	30	31
830	26	28	29
840	25	29	30
850	26	32	32
860	24	33	33
870	25	33	32
880	24	29	32
890	25	29	31
900	26	32	33
910	24	32	30
920	26	32	30
930	25	28	30
940	25	29	29
950	24	31	31
960	25	31	31
970	25	31	30
980	26	31	32
990	24	32	33
1000	25	32	33
1010	24	29	30
1020	25	30	30
1030	26	31	32
1040	24	30	31
1050	26	28	33
1060	25	33	31
1070	25	28	29
1080	25	32	33
1090	25	32	31
1100	25	29	30
1110	24	29	29
1120	24	31	31
1130	28	30	30
1140	27	31	31
1150	28	33	33
1160	25	32	32
1170	24	32	32
1180	28	32	33
1190	26	30	32
1200	25	30	32
