time	at	ch	cm
0	0	0	0
10	31	36	37
20	31	36	38
30	28	36	37
40	32	36	35
50	28	37	38
60	29	37	39
70	28	38	39
80	27	36	37
90	30	37	38
100	30	37	38
110	31	38	39
120	29	37	38
130	29	37	38
140	30	36	38
150	30	36	36
160	31	34	35
170	31	38	38
180	31	37	37
190	28	39	39
200	32	38	38
210	28	36	37
220	29	37	37
230	28	38	38
240	27	37	37
250	30	37	37
260	30	38	37
270	31	36	36
280	29	34	38
290	30	35	35
300	30	39	39
310	27	39	40
320	28	39	39
330	28	37	38
340	29	36	36
350	30	35	37
360	21	36	36
370	32	29	35
380	31	38	36
390	31	39	39
400	29	36	38
410	30	37	39
420	30	38	36
430	30	38	38
440	31	39	39
450	30	36	36
460	29	37	37
470	31	39	39
480	30	37	37
490	31	38	38
500	30	37	38
510	31	39	36
520	30	37	35
530	31	38	38
540	30	39	40
550	30	39	35
560	31	37	38
570	30	39	39
580	30	39	40
590	30	39	40
600	30	35	39
610	30	36	38
620	31	36	34
630	30	36	35
640	31	36	36
650	31	37	36
660	30	37	36
670	30	38	38
680	31	37	35
690	30	38	36
700	30	39	37
710	31	38	38
720	32	36	38
730	31	36	37
740	30	35	36
750	31	36	39
760	30	37	39
770	28	37	38
780	29	39	36
790	30	38	39
800	30	35	36
810	29	37	39
820	30	36	38
830	28	38	38
840	27	37	37
850	30	35	34
860	31	37	38
870	30	36	36
880	30	38	38
890	31	36	36
900	30	37	37
910	29	36	36
920	31	38	38
930	29	38	38
940	30	38	39
950	31	39	37
960	30	36	37
970	30	34	35
980	30	36	39
990	31	38	37
1000	30	37	35
1010	31	38	39
1020	30	38	41
1030	30	39	40
1040	31	39	39
1050	29	38	36
1060	31	39	38
1070	30	38	38
1080	30	37	37
1090	30	35	36
1100	31	35	37
1110	30	36	36
1120	30	38	39
1130	31	37	38
1140	30	36	39
1150	30	36	38
1160	29	38	39
1170	28	39	40
1180	27	37	39
1190	28	39	38
1200	29	38	37
