time	at	ch	cm
0	0	0	0
10	37	42	44
20	38	42	44
30	36	41	43
40	37	41	43
50	38	44	43
60	39	41	42
70	36	44	43
80	38	41	42
90	36	43	42
100	37	40	44
110	38	43	42
120	36	43	45
130	37	45	45
140	38	43	45
150	36	42	44
160	34	44	45
170	35	43	42
180	39	42	45
190	35	41	42
200	38	43	43
210	37	42	43
220	38	43	43
230	38	44	43
240	38	42	42
250	39	44	44
260	36	44	43
270	39	45	44
280	37	44	44
290	36	43	43
300	36	42	42
310	37	45	45
320	39	42	44
330	37	43	45
340	36	44	45
350	35	44	46
360	36	42	42
370	29	44	44
380	38	43	43
390	39	44	45
400	36	44	42
410	36	43	43
420	39	44	44
430	36	45	43
440	38	44	45
450	39	45	45
460	37	45	44
470	40	45	45
480	36	45	44
490	37	45	45
500	36	43	45
510	38	44	45
520	38	45	45
530	36	44	44
540	37	45	45
550	36	45	45
560	38	42	42
570	39	45	45
580	39	45	45
590	39	45	45
600	37	46	46
610	39	44	44
620	38	43	43
630	39	46	45
640	38	46	46
650	38	45	44
660	35	45	45
670	37	45	45
680	36	42	42
690	36	44	44
700	37	44	44
710	39	44	46
720	37	45	45
730	36	46	46
740	35	45	45
750	36	45	45
760	39	46	46
770	36	47	47
780	38	44	44
790	38	42	42
800	36	44	44
810	37	45	45
820	36	46	46
830	38	44	44
840	39	43	44
850	39	43	44
860	39	43	45
870	38	43	44
880	36	42	44
890	39	43	45
900	37	42	45
910	37	42	42
920	35	44	42
930	38	42	44
940	39	45	45
950	37	45	44
960	39	45	44
970	35	43	46
980	37	44	43
990	36	44	43
1000	33	42	43
1010	39	44	42
1020	35	42	43
1030	36	44	46
1040	37	44	45
1050	36	46	45
1060	38	43	44
1070	36	42	45
1080	36	42	43
1090	37	43	44
1100	36	44	45
1110	38	46	46
1120	39	43	45
1130	39	44	44
1140	38	41	43
1150	37	42	41
1160	36	43	42
1170	39	42	43
1180	40	44	44
1190	37	45	44
1200	39	44	43
