time	at	ch	cm
0	0	0	0
10	39	44	44
20	40	42	42
30	41	43	43
40	42	42	41
50	40	45	45
60	43	42	44
70	42	44	44
80	40	43	45
90	39	42	42
100	42	42	45
110	42	43	40
120	41	43	43
130	45	45	43
140	42	44	43
150	42	44	44
160	42	45	42
170	41	42	44
180	42	45	43
190	43	40	45
200	41	43	44
210	43	43	43
220	39	43	43
230	42	44	45
240	41	42	44
250	41	44	44
260	42	43	45
270	40	45	44
280	40	44	42
290	40	43	44
300	42	41	43
310	42	45	45
320	41	44	44
330	39	44	43
340	42	45	44
350	41	44	45
360	40	42	44
370	40	44	45
380	42	43	45
390	42	45	45
400	42	44	45
410	42	43	45
420	40	44	45
430	42	45	45
440	41	44	45
450	41	45	44
460	40	45	45
470	42	45	45
480	43	45	42
490	41	45	45
500	40	45	45
510	42	45	45
520	42	45	47
530	43	44	46
540	42	45	46
550	43	45	46
560	42	42	46
570	42	45	44
580	41	45	45
590	40	45	45
600	41	46	42
610	42	44	44
620	43	43	44
630	42	46	46
640	41	46	45
650	42	44	46
660	42	45	45
670	43	45	45
680	41	42	46
690	40	44	47
700	42	44	44
710	41	46	42
720	43	45	44
730	42	46	45
740	41	45	46
750	42	45	44
760	42	46	47
770	42	47	44
780	44	44	45
790	43	42	44
800	41	44	44
810	42	45	45
820	43	46	45
830	42	44	42
840	45	47	44
850	42	44	43
860	42	45	44
870	42	44	47
880	41	44	45
890	42	45	48
900	42	45	44
910	44	42	44
920	43	44	46
930	43	43	47
940	41	44	46
950	42	45	45
960	42	45	45
970	42	42	46
980	40	44	47
990	41	44	44
1000	42	46	42
1010	41	47	44
1020	42	46	45
1030	42	45	48
1040	42	45	44
1050	41	45	45
1060	42	44	42
1070	44	44	44
1080	43	42	42
1090	42	44	43
1100	40	45	44
1110	42	45	45
1120	43	44	46
1130	42	45	45
1140	40	42	45
1150	43	44	44
1160	41	42	44
1170	44	43	42
1180	42	44	44
1190	42	45	45
1200	42	46	48
