f_p_2	f_p_5	f_p_10	f_p_15	f_p_20
3.3	3.2	3.4	4.2	3.9
3.2	3.3	3.3	3.7	3.8
3.0	3.1	3.2	3.7	3.9
3.1	3.2	3.0	3.7	3.7
3.1	3.3	3.4	3.6	3.7
3.0	3.2	3.4	3.6	3.6
3.1	3.1	3.4	3.8	3.8
3.2	3.2	2.0	4.0	4.1
3.3	3.2	3.0	3.8	4.2
3.2	3.3	3.1	3.4	3.9
3.1	3.0	3.0	3.6	4.3
3.0	3.3	3.4	3.6	3.6
3.0	3.3	3.4	3.8	3.8
3.1	3.2	3.4	3.7	4.0
2.9	3.1	3.3	3.7	3.8
3.0	3.2	3.4	3.7	3.7
3.1	3.2	3.4	3.6	3.6
2.0	3.3	3.2	3.6	3.6
3.3	3.1	3.0	3.8	3.8
3.2	3.3	3.4	3.7	3.7
3.0	3.3	3.5	3.7	3.7
3.0	3.2	3.4	3.7	3.7
3.1	3.1	3.3	3.6	3.6
3.2	3.2	3.2	3.6	4.2
3.3	3.3	3.1	3.8	3.8
3.2	3.3	3.0	3.7	3.7
3.1	3.2	3.4	3.9	3.9
3.0	3.1	3.4	3.7	3.7
3.0	3.2	3.4	3.6	3.6
3.1	3.2	3.3	3.6	3.6
3.0	2.0	3.0	3.8	4.1
3.0	3.1	3.4	3.7	3.7
3.1	3.3	3.0	3.7	4.3
3.2	3.3	3.1	4.2	4.0
3.0	3.0	3.2	4.2	4.0
