f_p_2	f_p_5	f_p_10	f_p_15	f_p_20
3.5	3.6	3.8	3.9	4.6
3.4	3.5	3.7	4.0	4.2
3.1	3.4	3.7	4.2	4.1
3.5	3.7	3.7	3.9	4.2
3.2	3.4	3.6	4.2	4.0
2.0	3.6	3.6	4.2	4.2
3.4	3.5	3.8	4.2	4.6
3.3	3.4	3.7	4.1	4.2
3.2	3.7	3.7	4.2	4.1
3.5	3.5	3.7	3.8	4.5
3.4	3.4	3.6	4.4	4.4
3.5	3.7	3.6	4.1	4.5
3.5	3.4	3.8	4.2	4.2
3.2	3.6	3.7	3.9	4.0
3.1	3.6	3.7	4.2	4.2
3.5	3.6	3.7	4.2	4.2
3.4	3.5	3.6	4.2	4.2
3.3	3.4	3.6	4.1	4.3
3.4	3.7	3.8	4.2	4.2
3.3	3.4	3.7	4.3	4.2
3.2	3.6	3.7	4.1	4.1
3.5	3.5	3.7	4.2	4.2
3.4	3.4	3.6	3.9	4.0
3.5	3.7	3.6	4.2	4.2
3.5	3.5	3.8	4.5	4.6
3.3	3.4	3.7	4.2	4.2
3.1	2.0	3.7	4.1	4.1
3.5	3.4	3.7	4.2	4.2
3.4	3.6	3.6	3.8	4.2
3.3	3.5	3.6	4.2	4.6
3.4	3.4	3.8	4.2	4.3
3.3	3.7	3.7	4.2	4.2
3.2	3.5	3.7	4.3	4.2
3.5	3.6	3.7	4.4	4.5
3.4	3.5	3.0	4.2	4.1
