time	at	ch	cm
0	0	0	0
10	14	20	21
20	12	21	20
30	13	20	20
40	11	21	19
50	12	22	20
60	14	21	18
70	14	20	19
80	14	19	20
90	13	20	21
100	12	21	22
110	14	21	20
120	12	22	21
130	11	19	20
140	12	20	21
150	13	20	19
160	12	21	20
170	14	21	20
180	13	19	20
190	12	22	21
200	12	21	22
210	11	19	20
220	13	20	21
230	11	20	22
240	12	21	21
250	13	21	22
260	14	20	21
270	12	19	20
280	11	19	21
290	12	20	22
300	13	21	21
310	12	20	21
320	11	21	19
330	13	22	20
340	14	19	20
350	15	19	21
360	14	22	22
370	13	21	22
380	13	21	20
390	12	20	19
400	12	21	22
410	14	20	22
420	15	19	20
430	13	19	19
440	12	19	21
450	11	18	21
460	14	19	21
470	12	20	20
480	12	21	20
490	12	22	21
500	13	21	22
510	12	21	21
520	12	20	21
530	14	19	20
540	12	18	19
550	15	20	18
560	12	21	18
570	14	22	21
580	10	23	21
590	11	21	23
600	12	20	23
610	10	22	21
620	12	21	22
630	13	19	20
640	14	21	21
650	13	22	21
660	12	19	20
670	12	21	22
680	12	20	21
690	12	21	23
700	13	18	19
710	12	19	21
720	12	20	21
730	14	21	22
740	12	20	21
750	15	22	21
760	12	21	23
770	14	19	21
780	10	19	23
790	11	20	20
800	12	21	21
810	10	21	21
820	12	22	22
830	11	21	21
840	13	22	22
850	14	20	20
860	12	20	20
870	12	20	20
880	13	19	19
890	14	22	22
900	12	21	21
910	12	21	21
920	14	21	21
930	13	19	19
940	13	20	20
950	14	21	21
960	12	22	22
970	13	21	21
980	14	20	20
990	15	20	20
1000	13	20	20
1010	14	21	21
1020	12	21	21
1030	10	22	22
1040	11	19	19
1050	13	22	22
1060	13	21	21
1070	14	22	22
1080	10	22	22
1090	12	21	21
1100	13	20	20
1110	12	21	21
1120	12	20	20
1130	13	19	19
1140	11	21	21
1150	15	22	22
1160	13	21	21
1170	12	20	20
1180	15	18	18
1190	12	19	19
1200	13	20	20
