25	32	57
96.01	96.01	96.01
96.80	96.80	96.80
95.60	95.60	95.60
97.00	97.00	97.00
96.99	96.99	96.99
97.00	97.00	97.00
96.80	96.80	96.80
96.99	96.99	96.99
95.02	95.02	95.02
96.00	96.00	96.00
97.20	97.20	97.20
96.59	96.59	96.59
97.00	97.00	97.00
96.80	96.80	96.80
96.19	96.19	96.19
96.60	96.60	96.60
96.00	96.00	99.00
96.80	98.00	96.80
96.79	96.79	96.79
97.20	97.20	97.20
94.03	94.03	94.03
96.80	96.80	96.80
96.79	96.79	96.79
96.60	96.60	96.60
96.79	96.79	96.79
93.43	93.43	93.43
96.80	96.80	96.80
97.00	97.00	97.00
98.90	98.90	98.90
96.80	96.80	96.80
98.10	96.40	95.60
96.40	96.40	96.40
97.00	97.00	97.00
96.40	96.40	96.40
99.20	99.20	99.20
