25	32	57
94.21	91.63	93.02
94.02	91.93	94.80
93.81	94.99	94.10
96.10	95.00	94.90
93.02	94.10	95.00
92.24	94.94	93.21
96.00	94.89	93.12
95.99	94.22	94.99
86.21	94.92	90.05
93.23	94.89	92.91
95.22	93.02	94.02
95.00	96.59	95.19
96.20	97.00	95.10
96.62	96.80	95.02
92.00	96.19	94.89
96.30	96.60	96.60
96.80	96.00	99.00
96.79	98.00	96.80
96.60	96.79	96.79
96.79	97.20	97.20
93.43	95.10	94.03
96.80	95.02	96.80
97.00	94.89	96.79
98.90	96.60	96.60
96.80	99.00	96.79
96.40	96.80	93.43
96.40	96.79	96.80
97.00	97.20	97.00
96.40	94.03	98.90
96.80	96.80	96.80
95.60	96.79	95.60
96.40	96.60	96.40
97.00	96.79	97.00
96.40	93.43	96.40
99.20	96.80	99.00
