time	at	ch	cm
00	0	0	0
10	14	15	15
20	14	15	15
30	14	14	13
40	14	14	14
50	13	13	14
60	13	13	13
70	14	14	14
80	13	14	14
90	13	13	13
100	14	14	14
110	13	14	14
120	12	13	15
130	13	13	14
140	13	14	13
150	13	13	13
160	14	14	14
170	14	14	14
180	13	13	15
190	13	14	14
200	14	14	14
210	14	14	14
220	13	13	13
230	14	14	13
240	14	14	14
250	13	13	15
260	13	13	13
270	13	13	13
280	14	14	14
290	14	14	14
300	13	14	14
310	13	14	14
320	13	14	14
330	14	14	14
340	13	13	13
350	13	14	14
360	14	14	14
370	13	13	14
380	12	13	14
390	13	13	13
400	12	13	13
410	13	14	15
420	13	14	14
430	13	13	15
440	13	13	13
450	14	14	14
460	13	15	15
470	13	13	13
480	12	14	14
490	14	14	14
500	13	13	13
510	13	13	13
520	13	14	13
530	14	14	14
540	12	14	15
550	13	13	13
560	13	14	14
570	15	15	15
580	14	14	14
590	13	13	13
600	12	13	15
610	12	14	14
620	13	13	15
630	13	14	14
640	13	14	15
650	13	15	15
660	14	14	14
670	14	14	14
680	13	15	13
690	13	15	15
700	14	14	14
710	14	14	14
720	13	14	13
730	14	14	14
740	13	14	15
750	12	14	15
760	13	13	14
770	13	14	15
780	14	14	14
790	14	14	14
800	13	15	15
810	13	14	13
820	14	15	15
830	14	14	14
840	13	13	13
850	14	14	14
860	14	14	14
870	13	15	15
880	13	15	15
890	13	13	13
900	13	13	13
910	14	14	14
920	13	13	14
930	14	14	14
940	14	14	14
950	13	13	13
960	14	14	14
970	11	12	13
980	14	14	15
990	13	14	15
1000	13	14	15
1010	13	13	15
1020	13	14	13
1030	14	14	14
1040	14	14	15
1050	13	13	14
1060	13	14	15
1070	12	14	14
1080	12	15	15
1090	13	14	14
1100	12	14	14
1110	11	14	15
1120	13	13	13
1130	13	13	13
1140	13	15	15
1150	13	13	15
1160	12	14	14
1170	12	15	14
1180	13	14	15
1190	13	14	14
1200	12	14	15

