time	at	ch	cm
0	0	0	0
10	8	10	11
20	8	10	10
30	8	10	11
40	8	10	10
50	7	9	11
60	8	10	11
70	8	9	12
80	8	10	10
90	8	11	11
100	8	10	10
110	8	9	11
120	8	9	10
130	8	10	10
140	8	10	10
150	8	9	9
160	7	8	10
170	8	9	9
180	7	10	10
190	8	11	11
200	7	10	10
210	8	10	11
220	8	10	12
230	7	9	9
240	8	9	9
250	8	9	9
260	8	10	10
270	8	11	10
280	8	10	10
290	8	9	9
300	7	10	9
310	8	10	11
320	7	9	10
330	8	9	9
340	8	10	10
350	8	10	10
360	8	10	10
370	8	10	10
380	7	9	9
390	7	11	11
400	7	11	11
410	7	11	11
420	8	11	10
430	7	11	11
440	8	11	11
450	8	10	10
460	7	9	9
470	8	10	10
480	8	10	11
490	7	10	9
500	8	10	10
510	8	9	9
520	8	11	11
530	7	11	10
540	8	11	11
550	8	9	9
560	7	11	11
570	8	9	9
580	8	9	9
590	8	10	10
600	7	10	10
610	8	9	9
620	8	10	9
630	7	9	9
640	8	10	10
650	8	11	11
660	7	10	10
670	8	10	9
680	8	9	9
690	7	10	10
700	8	11	9
710	7	9	9
720	8	10	9
730	8	9	9
740	8	10	10
750	7	10	11
760	7	10	10
770	8	10	9
780	7	10	10
790	8	9	9
800	7	9	9
810	8	9	9
820	8	10	10
830	8	11	11
840	8	10	10
850	7	9	9
860	8	9	9
870	8	10	10
880	8	10	10
890	8	9	9
900	7	10	10
910	8	10	10
920	8	10	9
930	7	10	10
940	8	9	9
950	8	11	11
960	7	11	9
970	8	11	11
980	8	11	11
990	8	11	10
1000	8	11	11
1010	8	10	11
1020	8	9	9
1030	8	10	11
1040	8	10	9
1050	8	10	10
1060	7	9	10
1070	8	9	9
1080	8	11	11
1090	8	10	10
1100	7	10	11
1110	8	9	9
1120	8	11	11
1130	7	10	10
1140	8	11	11
1150	8	10	11
1160	8	10	12
1170	7	10	10
1180	8	10	11
1190	7	10	10
1200	8	11	12

