f_n_2	f_n_5	f_n_10	f_n_15	f_n_20
1.9	2.8	3.0	3.3	3.5
2.1	3.1	3.3	3.5	3.9
2.1	3.0	3.2	3.5	4.0
2.0	3.0	3.0	3.4	3.9
1.9	2.8	3.4	3.3	3.8
1.9	3.0	3.4	3.2	3.9
1.9	3.1	3.4	3.4	3.8
3.0	3.2	3.1	3.5	3.7
2.1	3.0	3.0	3.5	3.9
2.0	2.9	3.1	3.7	3.8
1.9	3.0	3.0	3.4	3.4
2.2	2.0	3.4	3.5	3.5
2.0	3.0	3.4	3.4	3.6
2.1	3.2	3.4	3.3	3.9
2.4	3.1	3.3	3.4	3.5
2.2	2.9	3.4	3.2	3.7
2.0	2.9	3.4	3.4	3.9
2.1	3.0	3.2	3.2	3.7
2.0	3.0	3.0	3.2	3.2
1.9	3.1	3.4	3.2	3.5
2.0	3.0	3.5	3.3	4.1
2.1	2.9	3.4	3.4	3.4
2.1	2.9	3.3	3.7	3.5
1.9	3.2	3.2	3.4	4.0
2.0	3.2	3.1	3.7	3.7
2.1	3.0	3.0	3.4	3.5
2.1	3.1	3.4	3.4	3.4
2.0	3.1	3.4	3.2	3.2
2.4	3.1	3.4	3.4	4.0
2.1	2.7	3.3	3.6	4.0
2.1	3.1	3.0	3.6	3.9
2.4	3.1	3.4	3.2	3.6
1.9	2.8	3.0	3.5	3.6
2.0	3.0	3.1	3.4	3.8
1.9	2.8	3.0	3.3	3.4
