temp	Na	Det	N
10	10	9	1
20	10	10	0
30	10	10	0
40	10	10	0
50	10	10	0
60	10	10	0
70	10	10	0
80	10	10	0
90	10	10	0
100	10	10	1
110	10	10	0
120	10	10	0
130	10	10	0
140	10	10	0
150	10	10	0
160	10	10	0
170	10	9	1
180	10	10	0
190	10	10	0
200	10	10	0
210	10	10	0
220	10	10	0
230	10	10	0
240	10	10	0
250	10	10	0
260	10	10	0
270	10	10	0
280	10	9	1
290	10	10	0
300	10	10	0
310	10	10	0
320	10	10	0
330	10	10	0
340	10	10	0
350	10	9	1
360	10	10	0
370	10	10	0
380	10	10	0
390	10	10	0
400	10	10	0
410	10	10	0
420	10	10	0
430	10	10	0
440	10	10	0
450	10	10	0
460	10	10	0
470	10	10	0
480	10	10	0
490	10	10	0
500	10	10	0
510	10	9	1
520	10	10	0
530	10	10	0
540	10	10	0
550	10	10	0
560	10	10	0
570	10	10	0
580	10	10	0
590	10	10	0
600	10	9	1
610	10	10	0
620	10	10	0
630	10	10	0
640	10	10	0
650	10	10	0
660	10	10	0
670	10	10	0
680	10	10	0
690	10	10	0
700	10	10	0
710	10	10	0
720	10	10	1
730	10	10	0
740	10	10	0
750	10	10	0
760	10	10	0
770	10	10	0
780	10	10	0
790	10	10	0
800	10	10	0
810	10	10	0
820	10	10	0
830	10	10	0
840	10	10	0
850	10	10	0
860	10	10	0
870	10	10	0
880	10	10	0
890	10	9	1
900	10	10	0
910	10	10	0
920	10	10	0
930	10	10	0
940	10	10	0
950	10	9	1
960	10	10	0
970	10	10	0
980	10	10	0
990	10	9	1
1000	10	9	1
1010	10	10	0
1020	10	10	0
1030	10	9	1
1040	10	10	0
1050	10	10	0
1060	10	9	1
1070	10	10	0
1080	10	10	0
1090	10	10	0
1100	10	10	0
1110	10	10	0
1120	10	10	0
1130	10	10	0
1140	10	10	0
1150	10	10	0
1160	10	10	0
1170	10	10	0
1180	10	9	1
1190	10	10	0
1200	10	9	1

