time	at	ch	cm
0	0	0	0
10	14	18	19
20	13	16	17
30	15	15	18
40	14	15	19
50	16	17	20
60	16	17	18
70	15	20	20
80	15	17	17
90	16	18	18
100	16	19	19
110	14	19	17
120	16	20	19
130	16	18	17
140	15	20	18
150	13	17	18
160	16	18	16
170	14	19	19
180	16	18	17
190	13	17	18
200	16	19	19
210	15	18	18
220	16	17	17
230	15	18	18
240	14	19	19
250	14	18	17
260	14	18	17
270	13	17	16
280	16	19	16
290	15	16	16
300	16	17	17
310	16	17	17
320	12	18	18
330	14	19	19
340	16	17	17
350	16	18	18
360	14	19	19
370	16	18	18
380	14	18	18
390	16	19	19
400	14	17	16
410	14	18	17
420	15	17	17
430	16	18	16
440	15	17	17
450	16	20	18
460	16	19	19
470	15	16	17
480	15	17	17
490	16	19	18
500	16	18	19
510	15	19	17
520	16	18	18
530	15	19	20
540	16	17	17
550	16	17	17
560	14	17	17
570	13	18	18
580	14	16	16
590	15	19	21
600	16	17	17
610	16	18	18
620	15	19	19
630	15	17	16
640	14	18	18
650	15	19	20
660	14	17	17
670	13	20	21
680	14	19	19
690	12	18	17
700	16	17	16
710	15	17	17
720	13	18	18
730	15	17	19
740	15	17	18
750	15	19	18
760	16	17	17
770	15	17	19
780	15	19	18
790	16	18	20
800	14	18	17
810	15	18	18
820	16	20	19
830	15	17	17
840	16	18	17
850	16	17	16
860	15	18	18
870	15	16	16
880	16	17	17
890	15	17	17
900	15	18	18
910	15	19	19
920	14	17	18
930	14	18	17
940	15	19	18
950	14	17	17
960	15	18	18
970	14	18	20
980	12	17	18
990	13	15	17
1000	13	17	17
1010	14	18	18
1020	15	20	17
1030	16	18	18
1040	12	20	19
1050	15	17	17
1060	16	18	19
1070	15	17	17
1080	14	18	18
1090	15	17	20
1100	15	18	16
1110	15	20	19
1120	13	18	17
1130	14	17	18
1140	15	19	17
1150	14	18	20
1160	15	19	16
1170	14	15	18
1180	12	19	16
1190	13	16	17
1200	14	17	18
