time	at	ch	cm
0	0	0	0
10	17	21	21
20	18	22	21
30	19	22	21
40	17	22	22
50	18	22	22
60	19	21	21
70	17	22	22
80	18	22	22
90	19	22	22
100	17	21	21
110	17	21	21
120	17	22	22
130	18	22	22
140	17	22	22
150	18	22	22
160	19	21	21
170	17	22	21
180	17	22	22
190	17	22	22
200	18	21	21
210	17	22	22
220	18	22	22
230	19	22	22
240	17	22	22
250	17	21	21
260	17	22	21
270	18	22	22
280	16	23	23
290	17	21	21
300	17	21	21
310	18	22	22
320	19	23	23
330	17	22	22
340	18	22	22
350	19	21	21
360	17	22	22
370	18	22	22
380	19	22	22
390	17	21	21
400	17	22	22
410	17	22	22
420	18	22	22
430	17	22	22
440	18	21	21
450	19	22	22
460	17	22	22
470	17	22	22
480	17	21	21
490	18	21	21
500	17	22	22
510	18	22	22
520	19	22	22
530	17	22	22
540	17	21	21
550	17	22	22
560	18	22	22
570	16	22	21
580	17	21	21
590	17	22	22
600	18	22	22
610	19	22	22
620	17	22	22
630	18	21	21
640	19	22	22
650	17	22	22
660	18	23	23
670	19	21	21
680	17	21	20
690	17	22	22
700	17	23	22
710	18	22	22
720	17	22	22
730	18	21	21
740	19	22	22
750	17	22	21
760	17	22	22
770	17	21	21
780	18	22	22
790	17	23	23
800	18	22	22
810	19	22	22
820	17	21	21
830	17	22	22
840	17	22	22
850	18	22	22
860	16	21	21
870	17	22	22
880	17	23	23
890	18	22	22
900	19	22	22
910	17	21	21
920	18	22	22
930	19	22	22
940	17	22	22
950	18	21	21
960	19	22	22
970	17	22	22
980	17	22	22
990	17	21	21
1000	18	21	21
1010	17	22	22
1020	18	22	22
1030	19	22	22
1040	17	22	22
1050	17	21	21
1060	17	22	22
1070	18	22	22
1080	17	22	22
1090	18	21	21
1100	19	23	23
1110	17	22	22
1120	17	22	22
1130	17	22	22
1140	18	23	23
1150	16	22	22
1160	15	22	22
1170	15	21	21
1180	17	23	23
1190	17	22	22
1200	17	22	21
