total_detc1	total_detc2	total_detc3	total_detc4	total_detc5
99.99	100	95.00	91.98	95.00
99.99	98.98	99.89	99.45	89.00
100	100	99.98	99.98	100
100	100	100	100	100
100	100	100	100	100
99.00	99.00	96.25	97.00	96.00
100	100	96.00	96.00	96.00
100	100	99.89	99.99	98.00
100	100	100	100	97.00
100	99.99	98.99	98.99	97.00
100	100	100	99.94	99.00
100	100	100	99.99	99.00
100	100	98.80	98.00	96.00
100	100	100	99.92	95.00
99.99	99	100	99.99	91.00
100	100	99.88	98.00	98.00
100	100	100	98.99	98.99
100	100	100	100	98.25
100	100	99.87	99.56	99.25
100	100	100	97.25	94.00
100	100	99.36	98.00	98.00
100	99	99.25	98.14	98.14
99.00	99.99	99.58	99.10	99.10
100	100	99.25	95.00	98.00
99.99	99	99.89	98.00	98.00
100	100	100	100	97.00
100	100	99.25	98.89	96.00
100	100	100	99.14	99.58
100	100	100	95.25	98.90
100	100	99.95	99.00	99.00
100	100	99.21	98.21	96.00
100	100	97.88	98.99	98.99
100	100	99.65	99.65	99.65
99.99	100	99.10	100	99.10
100	100	94.25	90.00	96.00
