total_detc1	total_detc2	total_detc3	total_detc4	total_detc5
99.99	91.99	99.99	95.25	90.00
99.00	98.99	90.00	90.00	90.00
98.99	98.99	100	92.00	84.00
98.00	92.00	100	90.21	87.00
99.99	98.99	100	83.23	82.00
100	100	100	92.24	83.00
99.00	100	99.00	93.24	79.00
99.99	98.99	100	92.25	85.00
95.00	100	100	93.25	91.00
98.99	98.99	97	89.28	92.00
99.98	97.98	98.99	92.89	89.00
99.99	100	90	93.78	86.00
100	99.00	100	90.87	89.89
100	98.00	100	91.29	91.00
99.99	99.99	90.00	90.00	90.00
100	98.00	100	87.00	100
98.99	97.99	98.99	82.25	90.00
100	98.00	100	90.12	90.89
99.00	99.00	99.98	91.00	93.00
95.00	100	100	92.24	89.89
99.00	100	99.98	89.89	87.25
99	99	99.15	90.21	90.89
100	100	100	92.00	79.89
99.98	95.00	100	94.00	88.00
99.99	99.99	97.98	87.22	78.00
98.99	100	98.00	92.21	82.39
99.15	100	98.00	89.14	81.00
99.14	100	98.99	94.21	84.00
99.00	99.00	99.99	95.24	86.29
97.00	100	100	92.89	85.00
97.14	99.99	98.00	89.00	78.00
98.99	100	100	81.70	90.00
99.00	99.15	99.00	89.12	94.00
95.00	97.00	100	90.12	89.98
90.00	95.00	98.00	94.23	88.00
