time	at	ch	cm
0	0	0	0
10	10	12	12
20	9	13	13
30	10	12	12
40	10	13	12
50	10	13	13
60	10	13	12
70	10	12	12
80	11	13	13
90	10	12	12
100	11	13	12
110	11	13	12
120	10	12	12
130	10	12	12
140	11	13	13
150	10	13	13
160	10	12	12
170	10	13	12
180	10	12	12
190	10	13	13
200	9	13	13
210	10	13	12
220	10	12	12
230	10	13	13
240	10	12	12
250	10	13	12
260	11	13	12
270	10	11	13
280	11	12	12
290	11	12	12
300	10	12	12
310	10	12	12
320	11	12	13
330	10	13	12
340	10	12	12
350	10	13	13
360	10	12	12
370	10	12	12
380	9	13	13
390	10	12	11
400	10	12	12
410	10	12	12
420	10	12	11
430	10	12	11
440	11	13	12
450	10	12	12
460	11	12	12
470	11	13	12
480	10	12	12
490	10	13	12
500	11	13	14
510	11	12	12
520	10	12	12
530	10	12	12
540	9	12	13
550	10	13	12
560	9	13	12
570	10	12	12
580	10	12	13
590	10	12	12
600	10	13	12
610	10	12	12
620	11	12	11
630	10	13	12
640	11	12	11
650	11	12	12
660	10	13	12
670	10	12	13
680	11	13	12
690	10	12	12
700	10	12	13
710	10	13	12
720	9	12	12
730	10	12	13
740	9	12	12
750	10	13	14
760	10	12	12
770	10	12	12
780	10	12	12
790	10	13	13
800	11	13	13
810	10	12	12
820	11	12	12
830	11	12	12
840	10	12	12
850	10	12	12
860	11	13	13
870	11	12	12
880	10	13	13
890	10	12	12
900	9	12	14
910	10	12	12
920	10	13	13
930	10	12	11
940	10	12	12
950	11	13	13
960	10	12	12
970	11	12	11
980	11	12	12
990	10	12	12
1000	10	13	12
1010	11	12	12
1020	11	12	14
1030	10	13	12
1040	10	13	11
1050	9	13	13
1060	10	13	12
1070	10	12	13
1080	10	13	12
1090	10	13	12
1100	11	13	13
1110	10	12	12
1120	10	13	13
1130	11	13	13
1140	10	12	12
1150	11	13	13
1160	10	12	12
1170	10	13	13
1180	10	13	13
1190	10	12	12
1200	10	12	13
