time	at	ch	cm
0	0	0	0
10	18	25	24
20	16	25	25
30	19	25	24
40	18	25	24
50	17	24	25
60	18	25	25
70	16	25	25
80	19	25	24
90	18	25	25
100	17	26	25
110	17	25	24
120	18	25	25
130	18	26	26
140	17	24	25
150	18	26	25
160	16	25	25
170	19	26	26
180	18	25	24
190	17	26	25
200	17	25	24
210	18	25	25
220	17	26	25
230	18	25	26
240	16	25	24
250	19	25	25
260	18	25	25
270	17	25	24
280	18	25	25
290	16	25	24
300	19	25	25
310	18	26	25
320	17	25	25
330	17	25	25
340	18	25	25
350	18	25	25
360	17	25	24
370	18	25	25
380	16	25	25
390	19	25	25
400	18	25	25
410	17	26	24
420	17	25	25
430	18	25	25
440	17	25	24
450	18	25	25
460	16	25	24
470	19	25	25
480	18	25	25
490	17	25	25
500	18	26	25
510	16	26	24
520	19	26	25
530	18	26	25
540	17	26	25
550	17	26	25
560	18	26	24
570	18	25	25
580	18	25	25
590	18	25	25
600	16	25	24
610	19	25	25
620	18	25	25
630	17	25	25
640	17	25	24
650	18	25	25
660	18	27	24
670	17	25	25
680	18	25	25
690	16	26	24
700	19	25	25
710	18	25	25
720	17	25	25
730	17	25	25
740	18	26	24
750	17	25	25
760	18	25	25
770	16	26	25
780	19	25	25
790	18	25	25
800	17	25	25
810	18	26	25
820	16	25	25
830	19	26	25
840	18	25	24
850	17	25	25
860	17	25	25
870	18	26	25
880	18	25	25
890	18	25	24
900	17	25	25
910	18	25	25
920	16	26	24
930	19	25	25
940	18	25	25
950	17	26	25
960	17	25	24
970	18	25	25
980	17	25	24
990	18	26	25
1000	16	25	25
1010	19	25	25
1020	18	26	24
1030	17	25	25
1040	18	25	25
1050	16	25	25
1060	19	25	25
1070	18	25	24
1080	17	27	26
1090	17	25	25
1100	18	25	27
1110	18	25	25
1120	17	25	25
1130	18	26	25
1140	16	26	25
1150	19	25	25
1160	18	26	25
1170	17	25	25
1180	17	26	25
1190	18	26	25
1200	17	25	25

