a_n_2	a_n_5	a_n_10
0.97	0.85	0.75
0.96	0.85	0.85
0.98	0.97	0.98
0.87	0.87	0.87
0.86	0.82	0.86
0.86	0.75	0.86
0.99	0.99	0.99
0.88	0.88	0.76
0.87	0.87	0.87
0.87	0.87	0.87
0.89	0.89	0.89
0.89	0.89	0.89
0.99	0.80	0.88
0.98	0.98	0.98
0.87	0.87	0.87
0.97	0.86	0.86
0.86	0.86	0.86
0.99	0.99	0.99
0.88	0.88	0.88
0.68	0.87	0.87
0.85	0.85	0.85
0.85	0.85	0.85
0.98	0.98	0.98
0.87	0.87	0.87
0.86	0.86	0.86
0.86	0.86	0.86
0.99	0.91	0.99
0.88	0.74	0.88
0.87	0.87	0.87
0.87	0.87	0.87
0.89	0.89	0.89
0.89	0.82	0.89
0.88	0.88	0.88
0.97	0.98	0.75
0.87	0.86	0.87

