a_n_2	a_n_5	a_n_10
0.98	0.92	0.85
0.94	0.93	0.85
0.98	0.98	0.98
0.90	0.84	0.87
0.86	0.86	0.86
0.86	0.86	0.86
0.99	0.99	0.99
0.88	0.89	0.88
0.87	0.86	0.87
0.87	0.85	0.87
0.89	0.90	0.89
0.89	0.91	0.89
0.88	0.88	0.88
0.98	0.97	0.72
0.92	0.98	0.87
0.90	0.86	0.86
0.86	0.86	0.86
0.99	0.99	0.99
0.91	0.88	0.88
0.95	0.81	0.87
0.85	0.85	0.85
0.85	0.94	0.85
0.98	0.97	0.89
0.87	0.87	0.87
0.86	0.86	0.86
0.86	0.92	0.86
0.99	0.99	0.99
0.88	0.88	0.88
0.97	0.87	0.87
0.87	0.76	0.87
0.89	0.91	0.89
0.89	0.90	0.89
0.88	0.88	0.88
0.98	0.91	0.98
0.93	0.92	0.92

