total_detc1	total_detc2	total_detc3
99.00	99.99	97.99
100	99.00	98.00
98.99	98.99	97.99
100	98.00	100
99.99	99.99	96.99
95.00	100	96.00
100	99.00	100
99.99	99.99	99.99
98.00	95.00	90.00
98.99	98.99	97.00
100	99.98	99.11
99.99	99.99	98.99
100	100	100
100	100	99.92
99.99	99.99	96.99
100	100	100
98.99	98.99	95.99
100	100	100
99.99	99.00	98.99
100	95.00	100
97	99.00	98.99
100	99	100
99.99	100	100
100	99.98	98.00
99.99	99.99	98.99
97.00	98.99	96.99
100	99.15	99.00
100	99.14	99.00
90.00	99.00	99
100	97.00	98.00
96	97.14	100
100	98.99	95
100	99.00	98.00
100	95.00	98.14
97.00	90.00	95.99

