total_detc1	total_detc2	total_detc3
92.99	91.99	98.00
99.99	98.99	100
100	98.99	98.99
100	92.00	100
100	98.99	100
99.00	100	97.99
100	100	98.00
100	98.99	99.99
100	100	95.00
99.00	98.99	97.99
97.00	97.98	99.11
100	100	99.99
100	99.00	100
100	98.00	99.92
95.00	99.99	99.99
100	98.00	98.00
100	97.99	98.99
100	98.00	100
98.99	99.00	99.99
100	100	100
100	100	100
100	99	100
99.00	100	99.10
100	95.00	99.15
99.99	99.99	93.99
99.99	100	99.99
100	100	98.00
100	100	100
100	99.00	99.00
99.99	100	100
100	99.99	100
100	100	98
100	99.15	97
99.99	97.00	98.00
90.00	95.00	90.00

