f_n_2	f_n_5	f_n_10
2.8	3.0	3.1
2.9	3.1	3.2
3.0	3.1	3.1
2.9	3.2	3.3
3.0	3.1	3.3
2.8	3.0	3.2
2.9	3.0	3.1
3.0	3.0	3.0
2.9	3.0	3.0
2.8	3.1	3.1
2.8	3.1	3.0
2.8	3.0	3.1
2.8	3.1	2.0
2.8	3.2	3.0
2.9	3.2	3.2
2.8	3.1	3.0
2.8	3.0	3.0
2.9	3.1	3.0
2.8	3.0	3.1
3.8	3.1	3.1
2.8	3.1	3.2
2.8	3.1	3.2
2.8	3.2	3.3
2.9	3.0	3.1
2.8	3.1	3.2
2.9	3.1	3.0
2.8	3.1	3.1
2.8	3.0	3.0
2.8	2.0	3.1
2.8	3.2	3.1
2.9	3.1	3.2
2.8	3.1	3.2
3.0	3.1	3.0
2.9	3.0	3.2
3.0	3.1	3.1

