DP_1	at
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2
0.2861897	2

