f_n_2	f_n_5	f_n_10
3.5	3.6	3.8
3.4	3.5	3.7
3.1	3.4	3.7
3.5	3.7	3.7
3.2	3.4	3.6
2.0	3.6	3.6
3.4	3.5	3.8
3.3	3.4	3.7
3.2	3.7	3.7
3.5	3.5	3.7
3.4	3.4	3.6
3.5	3.7	3.6
3.5	3.4	3.8
3.2	3.6	3.7
3.1	3.6	3.7
3.5	3.6	3.7
3.4	3.5	3.6
3.3	3.4	3.6
3.4	3.7	3.8
3.3	3.4	3.7
3.2	3.6	3.7
3.5	3.5	3.7
3.4	3.4	3.6
3.5	3.7	3.6
3.5	3.5	3.8
3.3	3.4	3.7
3.1	2.0	3.7
3.5	3.4	3.7
3.4	3.6	3.6
3.3	3.5	3.6
3.4	3.4	3.8
3.3	3.7	3.7
3.2	3.5	3.7
3.5	3.6	3.7
3.4	3.5	2.0

