total_detc1	total_detc2	total_detc3
8	12	23
10	12	24
11	10	25
10	15	24
11	16	23
9	12	24
8	12	25
10	12	24
11	10	22
10	15	23
11	16	24
9	15	23
12	12	24
8	12	25
10	13	24
11	15	23
10	16	24
11	15	25
9	12	24
8	12	22
10	10	23
11	14	24
10	14	23
11	15	24
9	12	25
12	12	24
8	12	22
10	11	23
11	14	24
10	16	23
11	12	24
9	12	25
8	12	24
10	15	22
11	16	23

