recall_churn	recall_sen
0.8497410242	0.8998178506
0.8233809924	0.824854045
0.8229342327	0.8248248248
0.8274999569	0.8317772731
0.8370497427	0.8737851824
0.8355334343	0.8377455167
0.875	0.837883959
0.8523023458	0.845227859
0.8204237998	0.824120603
0.8290747302	0.8312236287
0.8444252377	0.8384353741
0.8133125149	0.8177299089
0.8302207131	0.8316498316
0.8230834035	0.824854045
0.8157453936	0.8684210526
0.816360601	0.8181818182
0.8299319728	0.8303805413
0.8229196602	0.8236775819
0.8296422487	0.8674911661
0.8356603823	0.8380221654
0.8296422487	0.8310810811
0.8226205433	0.8242677824
0.8221845893	0.8199619348
0.8370497427	0.8385726423
0.8364888124	0.8316498316
0.8296422487	0.8317914214
0.8214501917	0.8838040758
0.8364888124	0.8388328102
0.8229342327	0.804719284
0.8226351351	0.8222131918
0.821013066	0.8238255034
0.802306425	0.8037612428
0.8370497427	0.8367921935
0.8299319728	0.8315080034
0.822605949	0.8443095127
