f_s2	f_s5	f_s10	f_s15	f_s20
0.6487174699	0.7706783356	0.8345498997	0.877772592	0.8805750309
0.64013267	0.7776869639	0.8301212979	0.8749059572	0.8652416572
0.6291751526	0.7887860642	0.8413835021	0.8759847711	0.8517414198
0.6509274874	0.7873007222	0.8472342317	0.8631898052	0.8712388748
0.6522691262	0.7781954887	0.8481143541	0.8645682027	0.8795672812
0.6577181208	0.7755787557	0.8429401685	0.8790873974	0.8810545677
0.6405835544	0.77251501	0.8319944364	0.8679152125	0.8718029717
0.6518149012	0.7834549878	0.8842756925	0.867916949	0.8827533183
0.6478365385	0.7873007222	0.8451855787	0.8547987786	0.880583541
0.6486952208	0.7813605414	0.8461726215	0.8839433385	0.8936287326
0.6625514403	0.7895060567	0.845692123	0.8593175797	0.8955724288
0.6296674485	0.7873007222	0.8441330998	0.8584493531	0.8858384199
0.6509274874	0.773006135	0.8382224804	0.8558314139	0.8799032236
0.6414844268	0.7772104273	0.8346896519	0.8708047259	0.8662656178
0.6115262258	0.768783054	0.8510826337	0.8780169924	0.8824071231
0.6296900489	0.7824675325	0.8436268068	0.873835794	0.8712352217
0.6491492573	0.7991718427	0.8368055556	0.8652597878	0.8640385428
0.6410341399	0.7887860642	0.8266088997	0.8640581013	0.8725834473
0.6405612514	0.7857168241	0.8494252791	0.873835794	0.8824071231
0.6630099417	0.7887860642	0.8548601864	0.8792601278	0.8779490554
0.6455640504	0.7824675325	0.8374487951	0.8740631359	0.8829215897
0.64013267	0.7936943112	0.8387284076	0.8653925687	0.8915728163
0.6405612514	0.781853708	0.8283080769	0.865418872	0.8834025362
0.6296900489	0.7767173007	0.8185778631	0.8546823845	0.8788094995
0.6401103754	0.7829455776	0.8321673318	0.8495951198	0.8796208937
0.613468324	0.7729896385	0.8290874515	0.8639393789	0.8915728163
0.6419344154	0.8472622478	0.828493241	0.8736553406	0.885373625
0.6509274874	0.7834549878	0.8436268068	0.8763413558	0.8962588431
0.585572843	0.7824675325	0.8368055556	0.8745075971	0.8640385428
0.6410341399	0.7776869639	0.8331766793	0.8685672982	0.8736723544
0.631424136	0.7834549878	0.8098348283	0.8589127068	0.8754069251
0.6204683991	0.7715315797	0.8326722238	0.8595266996	0.8765476425
0.6522911051	0.7777031565	0.8291003013	0.8670043253	0.865032983
0.6195826645	0.772007003	0.8257003858	0.8628761426	0.8649056604
0.5500525386	0.7657042098	0.834209269	0.8623293494	0.8607726033
