f_s2	f_s5	f_s10	f_s15	f_s20
0.6496213906	0.7512842804	0.8417547416	0.8783528991	0.8992176854
0.6383058647	0.7485515643	0.8498683055	0.8817568752	0.9023507584
0.627311285	0.76458339	0.856779499	0.8846430532	0.8995705518
0.653651969	0.759811617	0.8531098368	0.8913642882	0.8973501263
0.6464438316	0.7602981561	0.8493631972	0.8854353892	0.9080585281
0.645061387	0.7633326815	0.8425095112	0.8904483727	0.897216696
0.6428334988	0.7572691787	0.850642328	0.8881522066	0.9017605549
0.6531766585	0.7548461886	0.8546142551	0.8832000316	0.8905102263
0.6300876023	0.7457009913	0.8546255507	0.8842068115	0.8914936725
0.6473682042	0.7507823424	0.8606230882	0.8826089249	0.8997496379
0.6412817364	0.752800291	0.8545577477	0.887074738	0.8943854544
0.6305089757	0.766781445	0.8541094641	0.8816198213	0.8986784141
0.6541049798	0.7663107948	0.8650693569	0.8790604361	0.9002086658
0.714023234	0.7717967771	0.854535131	0.8724044498	0.9014193965
0.5520886249	0.7597943201	0.8573849129	0.8745860618	0.9036034833
0.6652977413	0.7567838956	0.8523267282	0.8712995771	0.8982776745
0.64503816	0.7650705967	0.8459554478	0.8737674434	0.9016597357
0.6428334988	0.7602981561	0.8584070796	0.8824758443	0.9071171259
0.641010168	0.7548461886	0.849958579	0.8862261583	0.8932358695
0.6722571628	0.7485515643	0.8617163184	0.879017178	0.8960536497
0.6630981032	0.8180666948	0.8590263692	0.8818174002	0.8939617381
0.6541049798	0.7602981561	0.859181751	0.8804716715	0.8904299584
0.6432825943	0.7582441208	0.852085785	0.8742385299	0.8952222365
0.6277782542	0.7475007335	0.8595324083	0.8850828314	0.8993580994
0.641010168	0.7556120969	0.8590263692	0.8853106755	0.9075835403
0.6468947113	0.748533637	0.8584070796	0.8853725045	0.9076637538
0.6410328151	0.7508005155	0.8605137853	0.8783586228	0.8952783873
0.6518893872	0.766798419	0.8574078947	0.8751250214	0.8972522358
0.6105295215	0.7699388937	0.854120758	0.8771570404	0.8937483921
0.6387532858	0.7658227848	0.8606340078	0.8820832707	0.8918197568
0.6428334988	0.7485515643	0.8592592968	0.888548214	0.9000296146
0.6427229067	0.7391131763	0.852465025	0.879838497	0.8965659482
0.6487408722	0.7610984927	0.8612924519	0.8790272594	0.8969180093
0.6281033691	0.7512842804	0.8488192655	0.8837159631	0.908276352
0.6331873854	0.7352978374	0.85214413	0.8818514538	0.8952976831
