total_detc1	total_detc2	total_detc3	total_detec4
82.25	90.00	92.25	91.98
78.00	90.00	98.47	99.45
70.00	84.00	96.97	99.98
82.93	87.00	93.58	100
83.00	82.00	99.00	100
90.00	83.00	92.21	97.00
81.00	79.00	97.00	96.00
82.36	85.00	90.89	99.99
89.00	91.00	87.00	100
85.00	92.00	97.20	98.99
95.00	89.00	96.52	99.94
87.00	86.00	95.20	99.99
82.00	89.89	95.00	98.00
78.00	91.00	95.89	99.92
75.00	90.00	95.20	99.99
85.00	100	92.00	98.00
79.00	90.00	96.20	98.99
74.00	90.89	96.25	100
75.00	93.00	90.00	99.56
78.00	89.89	90.00	97.25
75.00	87.25	92.00	98.00
89.00	90.89	85.00	98.14
82.00	79.89	87.00	99.10
90.00	88.00	88.41	95.00
86.00	78.00	95.25	98.00
89.00	82.39	97.00	100
82.00	81.00	89.12	98.89
89.00	84.00	92.00	99.14
79.00	86.29	90.00	95.25
87.00	85.00	89.00	99.00
85.00	78.00	88.00	98.21
79.00	90.00	90.00	98.99
72.00	94.00	91.00	99.65
75.00	89.98	96.21	99.10
78.00	88.00	95.00	92.25
