total_detc1	total_detc2	total_detc3	total_detec4
90.21	95.25	88.00	95.00
85.28	90.00	94.25	99.89
87.24	92.00	97.89	99.98
80.00	90.21	99.89	100
79.90	83.23	96.25	100
90.28	92.24	97.00	96.25
85.14	93.24	97.00	96.00
87.19	92.25	92.25	99.89
85.99	93.25	90.28	100
90.28	89.28	95.14	98.99
78.99	92.89	93.26	100
79.47	93.78	99.99	100
80.14	90.87	97.25	98.80
81.25	91.29	90.25	100
89.21	90.00	91.00	100
85.24	87.00	89.25	99.88
82.89	82.25	91.99	100
83.89	90.12	95.00	100
85.24	91.00	92.36	99.87
82.45	92.24	91.99	100
84.98	89.89	97.26	99.36
83.00	90,21	98.20	99.25
88.98	92.00	89.25	99.58
79.29	94.00	97.25	99.25
78.89	87.22	95.00	99.89
81.81	92.21	92.00	100
89.90	89.14	96.00	99.25
87.58	94.21	93.29	100
89.25	95.24	92.00	100
88.23	92.89	97.00	99.95
82.50	89.00	96.00	99.21
85.29	81.70	97.00	97.88
87.29	89.12	92.00	99.65
86.59	90.12	92.78	100
90.00	94.23	90.89	90.00
