S	Na 	Det Ndet
1	15	13	2
2	15	14	1
3	15	15	0
4	15	13	2
5	15	14	1
6	15	15	0
7	15	14	1
8	15	15	0
9	15	13	2
10	15	14	1
11	15	15	0
12	15	14	1
13	15	15	0
14	15	13	2
15	15	14	1
16	15	15	0
17	15	14	1
18	15	15	0
19	15	13	2
20	15	14	1
21	15	15	0
22	15	14	1
23	15	15	0
24	15	13	2
25	15	14	1
26	15	15	0
27	15	14	1
28	15	15	0
29	15	13	2
30	15	14	1
31	15	15	0
32	15	14	1
33	15	15	0
34	15	13	2
35	15	14	1

