S	Na 	Det N
1	5	5	0
2	5	5	0
3	5	5	0
4	5	5	0
5	5	5	0
6	5	5	0
7	5	5	0
8	5	5	0
9	5	5	0
10	5	5	0
11	5	5	0
12	5	5	0
13	5	5	0
14	5	5	0
15	5	5	0
16	5	5	0
17	5	4	1
18	5	5	0
19	5	5	0
20	5	4	1
21	5	5	0
22	5	5	0
23	5	5	0
24	5	4	1
25	5	5	0
26	5	5	0
27	5	5	0
28	5	5	0
29	5	5	0
30	5	5	0
31	5	4	1
32	5	4	1
33	5	5	0
34	5	5	0
35	5	4	1

