S	Na 	Det Ndet
1	8	8	0
2	8	7	1
3	8	8	0
4	8	8	0
5	8	8	0
6	8	8	0
7	8	8	0
8	8	8	0
9	8	8	0
10	8	8	0
11	8	8	0
12	8	8	0
13	8	7	1
14	8	8	0
15	8	8	0
16	8	8	0
17	8	8	0
18	8	7	1
19	8	8	0
20	8	8	0
21	8	7	1
22	8	7	1
23	8	8	0
24	8	8	0
25	8	8	0
26	8	7	1
27	8	8	0
28	8	8	0
29	8	7	1
30	8	8	0
31	8	8	0
32	8	8	0
33	8	8	0
34	8	8	0
35	8	8	0

