S	Na 	Det Ndet
1	22	21	1
2	22	22	0
3	22	21	1
4	22	21	1
5	22	20	2
6	22	21	1
7	22	22	0
8	22	21	1
9	22	21	1
10	22	22	0
11	22	21	1
12	22	21	1
13	22	22	0
14	22	20	2
15	22	21	1
16	22	20	2
17	22	21	1
18	22	20	2
19	22	21	1
20	22	22	0
21	22	21	1
22	22	22	0
23	22	20	2
24	22	20	2
25	22	22	0
26	22	22	0
27	22	20	2
28	22	21	1
29	22	20	2
30	22	19	3
31	22	22	0
32	22	20	2
33	22	22	0
34	22	22	0
35	22	21	1

