S	Na 	Det Ndet
1	30	28	2
2	30	29	1
3	30	30	0
4	30	29	1
5	30	28	2
6	30	29	1
7	30	30	0
8	30	29	1
9	30	28	2
10	30	29	1
11	30	30	0
12	30	29	1
13	30	28	2
14	30	29	1
15	30	30	0
16	30	30	0
17	30	28	2
18	30	30	0
19	30	30	0
20	30	29	1
21	30	28	2
22	30	29	1
23	30	30	0
24	30	29	1
25	30	30	0
26	30	29	1
27	30	30	0
28	30	29	1
29	30	28	2
30	30	29	1
31	30	30	0
32	30	30	0
33	30	28	2
34	30	29	1
35	30	30	0

