S	Na 	Det Ndet
1	10	9	1
2	10	8	2
3	10	9	1
4	10	8	2
5	10	9	1
6	10	9	1
7	10	9	1
8	10	8	2
9	10	10	0
10	10	10	0
11	10	9	1
12	10	8	2
13	10	8	2
14	10	10	0
15	10	8	2
16	10	10	0
17	10	8	2
18	10	8	2
19	10	9	1
20	10	10	0
21	10	8	2
22	10	10	0
23	10	9	1
24	10	10	0
25	10	10	0
26	10	8	2
27	10	10	0
28	10	8	2
29	10	10	0
30	10	9	1
31	10	10	0
32	10	9	1
33	10	10	0
34	10	8	2
35	10	9	1

