a_n_2	a_n_5	a_n_10	a_n_15	a_n_20
96.79	96.20	89.85	89.55	86.27
96.89	95.09	83.82	94.39	93.56
96.30	96.60	95.00	94.58	93.98
96.10	95.80	96.00	94.70	94.10
96.10	95.50	94.60	94.70	93.70
95.81	94.51	90.64	90.89	91.03
96.70	96.00	90.54	90.54	90.14
96.20	96.10	92.72	94.59	93.79
96.50	95.90	94.80	94.80	94.00
96.50	95.89	92.13	93.50	93.10
96.30	95.60	94.91	94.60	93.74
96.20	95.80	93.91	94.30	94.09
96.40	95.70	90.26	93.11	92.12
96.70	95.50	90.05	94.40	94.12
96.29	94.41	94.90	94.20	94.39
96.30	95.70	93.02	94.08	92.22
96.20	95.60	93.80	94.20	92.70
96.00	95.90	95.10	94.50	94.60
96.50	95.40	94.11	94.37	93.66
96.60	95.70	95.10	94.40	91.38
96.30	95.30	93.02	93.77	91.92
96.20	94.31	93.16	93.66	92.16
95.61	94.89	93.81	94.08	93.11
96.60	96.60	93.12	93.86	88.95
96.39	94.21	93.02	94.09	92.12
96.10	95.40	95.10	94.20	94.60
96.20	95.50	95.10	93.66	93.00
96.20	95.20	94.68	94.30	93.15
96.30	95.40	94.90	94.50	89.30
96.40	95.20	94.11	94.45	93.31
96.20	95.30	91.04	93.62	92.63
96.40	95.50	93.80	92.40	93.20
96.30	95.50	94.85	94.05	93.75
96.89	96.10	93.81	94.70	93.01
96.10	96.40	90.74	84.31	86.03
