a_n_2	a_n_5	a_n_10	a_n_15	a_n_20
96.01	87.47	92.81	84.12	75.37
96.80	94.39	93.80	79.25	71.08
95.60	94.70	94.30	80.99	63.23
97.00	94.40	94.11	73.95	75.94
96.99	94.50	94.40	73.65	76.50
92.25	93.31	93.21	83.99	83.01
96.80	94.30	90.83	78.71	73.83
96.99	94.60	95.30	80.74	75.87
95.02	94.40	94.30	79.05	82.12
96.00	93.51	93.21	84.49	78.58
97.20	91.83	89.45	72.46	88.25
96.59	94.40	94.20	73.13	80.15
97.00	94.40	94.20	73.59	75.42
96.80	94.30	84.31	75.38	71.28
96.19	89.35	94.30	82.93	68.93
96.60	94.40	94.10	79.01	77.88
96.00	94.80	94.00	76.50	71.97
96.80	94.70	88.95	77.48	67.55
96.79	93.40	93.20	79.01	68.93
97.20	94.70	94.40	76.46	71.58
94.03	94.40	94.10	78.86	69.03
96.80	94.70	94.20	76.60	82.52
96.79	93.61	92.81	82.50	75.72
96.60	94.20	93.80	72.75	82.91
96.79	94.49	93.69	71.96	78.86
93.43	94.39	93.69	75.43	82.52
96.80	97.00	93.90	83.51	75.72
97.00	94.60	94.10	81.32	82.72
86.31	94.40	94.00	83.17	71.97
96.80	94.39	93.89	81.66	79.55
92.84	94.60	80.75	75.91	77.98
96.40	94.10	93.80	78.56	72.47
97.00	94.40	93.70	80.64	65.49
96.40	94.19	93.89	79.74	68.03
92.03	84.61	84.91	75.57	70.98
