a_n_2	a_n_5	a_n_10	a_n_15	a_n_20
95.79	87.08	94.59	88.80	83.71
94.71	93.60	84.51	83.91	83.41
94.90	93.90	94.60	85.89	77.29
93.92	86.89	95.00	84.22	80.55
95.99	93.90	94.20	77.53	75.72
96.10	94.80	94.20	86.52	76.70
95.01	94.80	93.21	87.11	72.67
94.79	93.60	95.90	85.83	78.38
90.65	94.80	95.00	87.02	84.00
94.80	93.80	91.83	83.30	85.39
95.98	93.00	94.00	86.97	82.42
95.79	95.70	84.31	87.75	80.06
96.00	93.71	94.20	84.77	83.60
95.80	92.62	94.20	85.39	84.20
95.69	94.79	84.51	84.01	83.81
95.80	92.92	94.20	81.25	93.60
94.90	92.91	93.20	76.47	83.61
96.90	92.72	94.60	84.43	84.69
94.71	93.91	94.98	85.10	87.08
90.95	94.60	94.20	86.42	83.80
95.01	94.70	93.98	84.00	80.60
94.91	93.91	93.36	84.22	84.89
95.80	95.00	94.40	85.79	74.04
95.88	89.65	94.60	88.06	80.94
95.69	94.49	92.80	80.87	71.78
94.70	94.70	93.02	86.19	76.40
94.96	94.70	92.22	82.96	74.93
95.15	94.80	93.20	88.37	78.29
94.61	93.71	94.19	89.29	79.85
92.83	95.10	94.40	86.77	78.58
93.07	95.89	93.02	82.72	71.28
94.60	94.80	94.20	76.02	83.81
95.01	94.06	94.01	83.04	87.16
90.85	91.73	94.80	83.63	83.29
86.21	90.25	92.82	87.79	81.74
